ApprovalNumber,Abattoir Name,NumberOfPIA
1007,Frank Bird Poultry Ltd,12
1100,2 Sisters Food Group Ltd,1
1128,2 Sisters Food Group Ltd,2
1659,SAC Commercial Ltd,1
2019,HFC Poultry Ltd,13
2036,Vion UK Ltd (T/A Thorne),3
2501,AJ Leese Turkeys Ltd,3
3003,Faccenda Foods (Lincs) Ltd (T/A Avara Foods),6
3005,Moy Park,5
3007,Faccenda Foods Ltd (T/A Avara Foods),57
3008,Noble Foods Ltd,12
3011,Moy Park Ltd,24
4007,Harrisons Poultry Ltd,1
4014,Freemans of Newent Ltd,10
4017,Highbury Poultry Farm Produce Ltd,4
4026,Faccenda Foods Ltd (T/A Avara Foods),6
4128,Fayre Game Ltd,1
4414,Dunbia (Mansfield) Ltd(T/A Dunbia Mansfield),3
4559,Qanwar Khan (T/A Taj & Co),2
4568,Baileys Turkeys Ltd (T/A Baileys Turkeys) ,6
4800,Gafoor Pure Halal Ltd (T/A Gafoor Pure Halal Ltd),3
5001,Bernard Matthews Foods Ltd (T/A Bernard Mathews Foods Ltd),6
5002,Jack Brand Ltd (T/A Jack Brand Ltd),7
5004,Green Label Foods Ltd (T/A Gressingham Foods),18
5007,Crown Chicken Ltd (T/A Crown Chicken Ltd),2
5028,Timothy Harvey-Thomas Harvey-Adam Harvey (T/A A D Harvey),6
5040,Wrights (Middleton) Storage and Packing Ltd (T/A Wrights (Middleton) Storage and Packing Ltd),1
5041,K Poultry Ltd (T/A K Poultry Ltd),3
5049,Bernard Matthews Foods Ltd (T/A Bernard Mathews Foods Ltd),15
5055,AP Burlton (Farms) Ltd (T/A AP Burlton (Farms) Ltd),5
5069,Gressingham Foods Ltd (T/A Gressingham Foods Ltd),9
5415,Telmara Farm Ltd (T/A Temara Farm Ltd),1
5464,Banham Poultry (2018) Ltd (T/A Banham Poultry (2018) Ltd,18
7002,2 Sisters Poultry Ltd (T/A 2 Sisters Poultry Ltd),3
7009,2 Sisters Poultry Ltd (T/A 2 Sisters Sandycroft),38
8005,2 Sisters Food Group Ltd (T/A 2 Sisters Food Group Ltd),24
8013,Creedy Carver Ltd (T/A Creedy Carver Ltd),9
8016,Freemans of Newent Ltd (T/A Freemans of Newent Ltd),7
9502,Moy Park Ltd,34
9518,McKeown Fine Foods,7
9552,Kearns Poultry ,2
