ApprovalNumber,Abattoir Name,NumberOfPIA
2019,HCF Poultry,10
2036,Vion Food UK Ltd,3
3003,Faccenda Foods (Lincs) Ltd,5
3005,Moy Park (Ashbourne),1
3007,Faccenda Foods ltd,12
3008,Noble Foods Ltd,10
3011,Moy Park,6
4007,Harrisons Poultry Ltd,1
4014,Cargill Meats Europe,4
4017,Highbury Poultry Farm Produce Ltd,3
4026,Faccenda Foods Ltd,6
4414,Dunbia Mansfield,3
4568,Bailey's Turkeys Ltd,5
4800,Gafoor Pure Halal Ltd,1
5001,Bernard Matthews Foods Ltd,6
5004,Gressingham Foods,7
5007,Crown Chicken Ltd,1
5028,AD Harvey,4
5040,Wrights (Middleton) Storage and Packing),1
5049,Bernard Matthews Foods Ltd,11
5069,Gressingham Foods Ltd,9
5415,Telmara Farm Ltd,1
5464,Banham Poultry Ltd,10
7002,2 Sisters Llangefni,2
7009,2 Sisters Sandycroft,18
8005,2 Sisters Food Group,8
8013,Creedy Carver Ltd,9
9552,Kearns Poultry,2
9518,McKeown Fine Foods,7
9502,Moy Park,41
