ApprovalNumber,Abattoir Name,NumberOfPIA
2019,HCF POULTRY LIMITED,11
2036,THORNE,3
3003,Faccenda Foods (Lincs) Limited,5
3005,MOY PARK (ASHBOURNE),15
3006,FACCENDA GROUP LTD - BUCKINGHAM ROAD (3006),3
3007,Faccenda Foods Limited  ,34
3008,NOBLE FOODS LIMITED,10
3011,MOY PARK,6
4007,HARRISONS POULTRY LTD,1
4014,Cargill Meats Europe,4
4017,HIGHBURY POULTRY FARM PRODUCE LIMITED,4
4026,Faccenda Foods Limited ,10
4128,FAYRE GAME LIMITED,1
4414,Dunbia Mansfield,3
4538,SPRINGFIELD POULTRY,5
4568,BAILEYS TURKEYS,6
4800,GAFOOR PURE HALAL LTD,7
5001,BERNARD MATTHEWS FOODS LIMITED,13
5002,JACK BRAND LIMITED,7
5004,GRESSINGHAM FOODS ,19
5007,CROWN CHICKEN LIMITED,1
5028,A D HARVEY,12
5040,WRIGHTS (MIDDLETON) STORAGE & PACKAGING LTD,1
5041,K Poultry Limited,3
5049,BERNARD MATTHEWS FOODS  LIMITED,11
5055,A P BURLTON (FARMS) LIMITED,2
5067,IHP LIMITED,3
5069,GRESSINGHAM FOODS LIMITED,12
5415,TELMARA FARM LTD,1
5464,BANHAM POULTRY LIMITED,12
7002,2 SISTERS LLANGEFNI,3
7009,2 SISTERS SANDYCROFT,31
8005,2 SISTERS FOOD GROUP   LTD,20
8013,CREEDY CARVER LIMITED,9
8016,Freemans of Newent Limited,4
9502,Moy Park Ltd,41
9518,McKeown Fine Foods,7
9552,Kearns Poultry,2
